PalashSetu Complete Hindi to Santali Word List
===============================================
Total entries: 7503
Hand-curated Hindi->Santali pairs: 7503
AI4Bharat model Ol Chiki tokens added: 0
AI4Bharat raw model tokens (Ol Chiki): 5448
Unique clean root words from model: 4597

Hindi/Phonetic Source               | Santali (Ol Chiki)          | Pronunciation (Devanagari)
----------------------------------------------------------------------------------------------------
-आ                                  | ᱼᱟ                             | -आ
-आग                                 | ᱼᱟᱜ                            | -आग
-आय                                 | ᱼᱟᱭ                            | -आय
-ए                                  | ᱼᱮ                             | -ए
-कअ                                 | ᱼᱠᱚ                            | -कअ
-ग                                  | ᱼᱜ                             | -ग
-ज                                  | ᱼᱡ                             | -ज
-प                                  | ᱼᱯ                             | -प
-पआ                                 | ᱼᱯᱟ                            | -पआ
-बआ                                 | ᱼᱵᱟ                            | -बआ
-म                                  | ᱼᱢ                             | -म
-मआ                                 | ᱼᱢᱟ                            | -मआ
-स                                  | ᱼᱥ                             | -स
-सउपउर                              | ᱼᱥᱩᱯᱩᱨ                         | -सउपउर
बैठई                                | ᱫᱩᱲᱩᱵ ᱠᱮᱫᱼᱟ                    | दउड़उब कएद-आ
बैठए                                | ᱫᱩᱲᱩᱵ ᱠᱮᱫ ᱠᱚ                   | दउड़उब कएद कअ
बैठएंगे                             | ᱫᱩᱲᱩᱵᱼᱟᱵᱚ                      | दउड़उब-आबअ
बैठएगा                              | ᱫᱩᱲᱩᱵᱼᱟᱭ                       | दउड़उब-आय
बैठएगी                              | ᱫᱩᱲᱩᱵᱼᱟᱭ                       | दउड़उब-आय
बैठओ                                | ᱫᱩᱲᱩᱵ ᱢᱮ                       | दउड़उब मए
बैठकर                               | ᱫᱩᱲᱩᱵ ᱠᱟᱛᱮ                     | दउड़उब कआतए
बैठता                               | ᱫᱩᱲᱩᱵᱜ                         | दउड़उबग
बैठता है                            | ᱫᱩᱲᱩᱵ ᱠᱟᱱᱟᱭ                    | दउड़उब कआनआय
बैठती                               | ᱫᱩᱲᱩᱵᱜ                         | दउड़उबग
बैठती है                            | ᱫᱩᱲᱩᱵ ᱠᱟᱱᱟᱭ                    | दउड़उब कआनआय
बैठते                               | ᱫᱩᱲᱩᱵᱜ ᱠᱚ                      | दउड़उबग कअ
बैठते हैं                           | ᱫᱩᱲᱩᱵ ᱠᱟᱱᱟᱠᱚ                   | दउड़उब कआनआकअ
बैठना                               | ᱫᱩᱲᱩᱵ                          | दउड़उब
बैठने                               | ᱫᱩᱲᱩᱵ ᱞᱟᱹᱜᱤᱫ                   | दउड़उब लआᱹगइद
बैठया                               | ᱫᱩᱲᱩᱵ ᱠᱮᱫᱼᱟ                    | दउड़उब कएद-आ
बैठा                                | ᱫᱩᱲᱩᱵ ᱠᱮᱫᱼᱟ                    | दउड़उब कएद-आ
बैठी                                | ᱫᱩᱲᱩᱵ ᱠᱮᱫᱼᱟ                    | दउड़उब कएद-आ
बैठे                                | ᱫᱩᱲᱩᱵ ᱠᱮᱫ ᱠᱚ                   | दउड़उब कएद कअ
बैठो                                | ᱫᱩᱲᱩᱵ ᱢᱮ                       | दउड़उब मए
बैल                                 | ᱰᱟᱝᱜᱽᱨᱟ                        | डआङग्रआ
बैलगाड़ी                            | ᱥᱟᱹᱜᱟᱹᱲ                        | सआᱹगआᱹड़
बो                                  | ᱮᱨ                             | एर
बोइए                                | ᱮᱨ ᱵᱤᱱ                         | एर बइन
बोई                                 | ᱮᱨ ᱠᱮᱫᱼᱟ                       | एर कएद-आ
बोए                                 | ᱮᱨ ᱠᱮᱫ ᱠᱚ                      | एर कएद कअ
बोएंगे                              | ᱮᱨᱼᱟᱵᱚ                         | एर-आबअ
बोएगा                               | ᱮᱨᱼᱟᱭ                          | एर-आय
बोएगी                               | ᱮᱨᱼᱟᱭ                          | एर-आय
बोओ                                 | ᱮᱨ ᱢᱮ                          | एर मए
बोकर                                | ᱮᱨ ᱠᱟᱛᱮ                        | एर कआतए
बोकारो                              | ᱵᱚᱠᱟᱨᱳ                         | बअकआरओ
बोता                                | ᱮᱨᱜ                            | एरग
बोता है                             | ᱮᱨ ᱠᱟᱱᱟᱭ                       | एर कआनआय
बोती                                | ᱮᱨᱜ                            | एरग
बोती है                             | ᱮᱨ ᱠᱟᱱᱟᱭ                       | एर कआनआय
बोते                                | ᱮᱨᱜ ᱠᱚ                         | एरग कअ
बोते हैं                            | ᱮᱨ ᱠᱟᱱᱟᱠᱚ                      | एर कआनआकअ
बोना                                | ᱮᱨ                             | एर
बोने                                | ᱮᱨ ᱞᱟᱹᱜᱤᱫ                      | एर लआᱹगइद
बोया                                | ᱮᱨ ᱠᱮᱫᱼᱟ                       | एर कएद-आ
बोर्ड की तरफ देखो                   | ᱵᱳᱨᱰ ᱥᱮᱫ ᱧᱮᱞ ᱢᱮ                | बओरड सएद ञएल मए
बोल                                 | ᱨᱚᱲ                            | रअड़
बोलइए                               | ᱨᱚᱲ ᱵᱤᱱ                        | रअड़ बइन
बोलई                                | ᱨᱚᱲ ᱠᱮᱫᱼᱟ                      | रअड़ कएद-आ
बोलए                                | ᱨᱚᱲ ᱠᱮᱫ ᱠᱚ                     | रअड़ कएद कअ
बोलएंगे                             | ᱨᱚᱲᱼᱟᱵᱚ                        | रअड़-आबअ
बोलएगा                              | ᱨᱚᱲᱼᱟᱭ                         | रअड़-आय
बोलएगी                              | ᱨᱚᱲᱼᱟᱭ                         | रअड़-आय
बोलओ                                | ᱨᱚᱲ ᱢᱮ                         | रअड़ मए
बोलकर                               | ᱨᱚᱲ ᱠᱟᱛᱮ                       | रअड़ कआतए
बोलता                               | ᱨᱚᱲᱜ                           | रअड़ग
बोलता है                            | ᱨᱚᱲ ᱠᱟᱱᱟᱭ                      | रअड़ कआनआय
बोलती                               | ᱨᱚᱲᱜ                           | रअड़ग
बोलती है                            | ᱨᱚᱲ ᱠᱟᱱᱟᱭ                      | रअड़ कआनआय
बोलते                               | ᱨᱚᱲᱜ ᱠᱚ                        | रअड़ग कअ
बोलते हैं                           | ᱨᱚᱲ ᱠᱟᱱᱟᱠᱚ                     | रअड़ कआनआकअ
बोलना                               | ᱨᱚᱲ                            | रअड़
बोलने                               | ᱨᱚᱲ ᱞᱟᱹᱜᱤᱫ                     | रअड़ लआᱹगइद
बोलया                               | ᱨᱚᱲ ᱠᱮᱫᱼᱟ                      | रअड़ कएद-आ
बोला                                | ᱨᱚᱲ ᱠᱮᱫᱼᱟ                      | रअड़ कएद-आ
बोली                                | ᱨᱚᱲ ᱠᱮᱫᱼᱟ                      | रअड़ कएद-आ
बोले                                | ᱨᱚᱲ ᱠᱮᱫ ᱠᱚ                     | रअड़ कएद कअ
बोलो                                | ᱨᱚᱲ ᱢᱮ                         | रअड़ मए
बोा                                 | ᱮᱨ ᱠᱮᱫᱼᱟ                       | एर कएद-आ
बोी                                 | ᱮᱨ ᱠᱮᱫᱼᱟ                       | एर कएद-आ
बोे                                 | ᱮᱨ ᱠᱮᱫ ᱠᱚ                      | एर कएद कअ
ब्                                  | ᱵᱽ                             | ब्
ब्ड़आ                               | ᱵᱽᱲᱟ                           | ब्ड़आ
ब्ड़आव                              | ᱵᱽᱲᱟᱣ                          | ब्ड़आव
ब्र                                 | ᱵᱽᱨ                            | ब्र
ब्रआ                                | ᱵᱽᱨᱟ                           | ब्रआ
ब्लइ                                | ᱵᱽᱞᱤ                           | ब्लइ
ब्लैकबोर्ड                          | ᱵᱞᱮᱠᱵᱳᱨᱰ                       | बलएकबओरड
ब्लैकबोर्ड की तरफ देखो              | ᱵᱞᱮᱠᱵᱳᱨᱰ ᱥᱮᱫ ᱧᱮᱞ ᱢᱮ            | बलएकबओरड सएद ञएल मए
भय                                  | ᱵᱚᱛᱚᱨ                          | बअतअर
भरोसा                               | ᱯᱟᱹᱛᱭᱟᱹᱣ                       | पआᱹतयआᱹव
भाई                                 | ᱵᱚᱭᱦᱟ                          | बअयहआ
भाग करना                            | ᱦᱟᱹᱴᱤᱧ                         | हआᱹठइञ
भाग्य                               | ᱠᱚᱯᱟᱲ                          | कअपआड़
भात                                 | ᱫᱟᱠᱟ                           | दआकआ
भारत                                | ᱵᱷᱟᱨᱚᱛ                         | बहआरअत
भारी                                | ᱦᱟᱢᱟᱞ                          | हआमआल
भालू                                | ᱵᱟᱱᱟ                           | बआनआ
भाषा                                | ᱯᱟᱹᱨᱥᱤ                         | पआᱹरसइ
भी                                  | ᱦᱚᱸ                            | हअं
भुट्टा                              | ᱡᱚᱱᱰᱨᱟ                         | जअनडरआ
भूमि                                | ᱫᱷᱟᱹᱨᱛᱤ                        | दहआᱹरतइ
भूरा                                | ᱠᱷᱟᱹᱭᱨᱟ                        | कहआᱹयरआ
भेज                                 | ᱠᱩᱞ                            | कउल
भेजइए                               | ᱠᱩᱞ ᱵᱤᱱ                        | कउल बइन
भेजई                                | ᱠᱩᱞ ᱠᱮᱫᱼᱟ                      | कउल कएद-आ
भेजए                                | ᱠᱩᱞ ᱠᱮᱫ ᱠᱚ                     | कउल कएद कअ
भेजएंगे                             | ᱠᱩᱞᱼᱟᱵᱚ                        | कउल-आबअ
भेजएगा                              | ᱠᱩᱞᱼᱟᱭ                         | कउल-आय
भेजएगी                              | ᱠᱩᱞᱼᱟᱭ                         | कउल-आय
भेजओ                                | ᱠᱩᱞ ᱢᱮ                         | कउल मए
भेजकर                               | ᱠᱩᱞ ᱠᱟᱛᱮ                       | कउल कआतए
भेजता                               | ᱠᱩᱞᱜ                           | कउलग
भेजता है                            | ᱠᱩᱞ ᱠᱟᱱᱟᱭ                      | कउल कआनआय
भेजती                               | ᱠᱩᱞᱜ                           | कउलग
भेजती है                            | ᱠᱩᱞ ᱠᱟᱱᱟᱭ                      | कउल कआनआय
भेजते                               | ᱠᱩᱞᱜ ᱠᱚ                        | कउलग कअ
भेजते हैं                           | ᱠᱩᱞ ᱠᱟᱱᱟᱠᱚ                     | कउल कआनआकअ
भेजना                               | ᱠᱩᱞ                            | कउल
भेजने                               | ᱠᱩᱞ ᱞᱟᱹᱜᱤᱫ                     | कउल लआᱹगइद
भेजया                               | ᱠᱩᱞ ᱠᱮᱫᱼᱟ                      | कउल कएद-आ
भेजा                                | ᱠᱩᱞ ᱠᱮᱫᱼᱟ                      | कउल कएद-आ
भेजी                                | ᱠᱩᱞ ᱠᱮᱫᱼᱟ                      | कउल कएद-आ
भेजे                                | ᱠᱩᱞ ᱠᱮᱫ ᱠᱚ                     | कउल कएद कअ
भेड़                                | ᱵᱷᱤᱰᱤ                          | बहइडइ
भेड़िया                             | ᱦᱩᱰᱟᱹᱨ                         | हउडआᱹर
भैंस                                | ᱠᱟᱰᱟ                           | कआडआ
भोजन                                | ᱡᱚᱢᱟᱜ                          | जअमआग
भोजन का समय हो गया                  | ᱡᱚᱢᱟᱜ ᱚᱠᱛᱚ ᱦᱩᱭ ᱮᱱᱟ             | जअमआग अकतअ हउय एनआ
मंगलवार                             | ᱢᱚᱝᱜᱚᱞᱵᱟᱨ                      | मअङगअलबआर
मंजिल                               | ᱡᱚᱥ                            | जअस
मअ                                  | ᱢᱚ                             | मअ
मअं                                 | ᱢᱚᱸ                            | मअं
मअक                                 | ᱢᱚᱠ                            | मअक
मअग                                 | ᱢᱚᱜ                            | मअग
मअङ                                 | ᱢᱚᱝ                            | मअङ
मअङगअल                              | ᱢᱚᱝᱜᱚᱞ                         | मअङगअल
मअच                                 | ᱢᱚᱪ                            | मअच
मअचआ                                | ᱢᱚᱪᱟ                           | मअचआ
मअज                                 | ᱢᱚᱡ                            | मअज
मअज्                                | ᱢᱚᱡᱽ                           | मअज्
मअठ                                 | ᱢᱚᱴ                            | मअठ
मअठअर                               | ᱢᱚᱴᱚᱨ                          | मअठअर
मअठआ                                | ᱢᱚᱴᱟ                           | मअठआ
मअड                                 | ᱢᱚᱰ                            | मअड
मअड़ए                               | ᱢᱚᱲᱮ                           | मअड़ए
मअडएल                               | ᱢᱚᱰᱮᱞ                          | मअडएल
मअण                                 | ᱢᱚᱬ                            | मअण
मअणए                                | ᱢᱚᱬᱮ                           | मअणए
मअत                                 | ᱢᱚᱛ                            | मअत
मअतइ                                | ᱢᱚᱛᱤ                           | मअतइ
मअतहउरआ                             | ᱢᱚᱛᱷᱩᱨᱟ                        | मअतहउरआ
मअद                                 | ᱢᱚᱫ                            | मअद
मअदअन                               | ᱢᱚᱫᱚᱱ                          | मअदअन
मअदह                                | ᱢᱚᱫᱷ                           | मअदह
मअदहयअ                              | ᱢᱚᱫᱷᱭᱚ                         | मअदहयअ
मअद्                                | ᱢᱚᱫᱽ                           | मअद्
मअन                                 | ᱢᱚᱱ                            | मअन
मअनअत                               | ᱢᱚᱱᱚᱛ                          | मअनअत
मअनइ                                | ᱢᱚᱱᱤ                           | मअनइ
मअनए                                | ᱢᱚᱱᱮ                           | मअनए
मअनतरइ                              | ᱢᱚᱱᱛᱨᱤ                         | मअनतरइ
मअनतरइय                             | ᱢᱚᱱᱛᱨᱤᱭ                        | मअनतरइय
मअनदइर                              | ᱢᱚᱱᱫᱤᱨ                         | मअनदइर
मअप                                 | ᱢᱚᱯ                            | मअप
मअम                                 | ᱢᱚᱢ                            | मअम
मअय                                 | ᱢᱚᱭ                            | मअय
मअयउर                               | ᱢᱚᱭᱩᱨ                          | मअयउर
मअर                                 | ᱢᱚᱨ                            | मअर
मअरआ                                | ᱢᱚᱨᱟ                           | मअरआ
मअरआठहइ                             | ᱢᱚᱨᱟᱴᱷᱤ                        | मअरआठहइ
मअल                                 | ᱢᱚᱞ                            | मअल
मअव                                 | ᱢᱚᱣ                            | मअव
मअस                                 | ᱢᱚᱥ                            | मअस
मअसज                                | ᱢᱚᱥᱡ                           | मअसज
मअसजइद्                             | ᱢᱚᱥᱡᱤᱫᱽ                        | मअसजइद्
मअह                                 | ᱢᱚᱦ                            | मअह
मअहअक                               | ᱢᱚᱦᱚᱠ                          | मअहअक
मअहअकउमआ                            | ᱢᱚᱦᱚᱠᱩᱢᱟ                       | मअहअकउमआ
मअहअत                               | ᱢᱚᱦᱚᱛ                          | मअहअत
मअहअन                               | ᱢᱚᱦᱚᱱ                          | मअहअन
मअहअम                               | ᱢᱚᱦᱚᱢ                          | मअहअम
मअहअल                               | ᱢᱚᱦᱚᱞ                          | मअहअल
मअहआ                                | ᱢᱚᱦᱟ                           | मअहआ
मअहआतमआ                             | ᱢᱚᱦᱟᱛᱢᱟ                        | मअहआतमआ
मअहआन                               | ᱢᱚᱦᱟᱱ                          | मअहआन
मअहआबइद्                            | ᱢᱚᱦᱟᱵᱤᱫᱽ                       | मअहआबइद्
मअहआर                               | ᱢᱚᱦᱟᱨ                          | मअहआर
मअहआरआजआ                            | ᱢᱚᱦᱟᱨᱟᱡᱟ                       | मअहआरआजआ
मअहआरआज्                            | ᱢᱚᱦᱟᱨᱟᱡᱽ                       | मअहआरआज्
मअहआरआसठरअ                          | ᱢᱚᱦᱟᱨᱟᱥᱴᱨᱚ                     | मअहआरआसठरअ
मआ                                  | ᱢᱟ                             | मआ
मआं                                 | ᱢᱟᱸ                            | मआं
मआः                                 | ᱢᱟᱺ                            | मआः
मआग                                 | ᱢᱟᱜ                            | मआग
मआग्                                | ᱢᱟᱜᱽ                           | मआग्
मआच                                 | ᱢᱟᱪ                            | मआच
मआचएत                               | ᱢᱟᱪᱮᱛ                          | मआचएत
मआचएद                               | ᱢᱟᱪᱮᱫ                          | मआचएद
मआचहआ                               | ᱢᱟᱪᱷᱟ                          | मआचहआ
मआज                                 | ᱢᱟᱡ                            | मआज
मआठ                                 | ᱢᱟᱴ                            | मआठ
मआड                                 | ᱢᱟᱰ                            | मआड
मआड़                                | ᱢᱟᱲ                            | मआड़
मआड़आङ                              | ᱢᱟᱲᱟᱝ                          | मआड़आङ
मआण                                 | ᱢᱟᱬ                            | मआण
मआणआङ                               | ᱢᱟᱬᱟᱝ                          | मआणआङ
मआत                                 | ᱢᱟᱛ                            | मआत
मआद                                 | ᱢᱟᱫ                            | मआद
मआदउर                               | ᱢᱟᱫᱩᱨ                          | मआदउर
मआदह                                | ᱢᱟᱫᱷ                           | मआदह
मआद्                                | ᱢᱟᱫᱽ                           | मआद्
मआन                                 | ᱢᱟᱱ                            | मआन
मआनअक                               | ᱢᱟᱱᱚᱠ                          | मआनअक
मआनअत                               | ᱢᱟᱱᱚᱛ                          | मआनअत
मआनअतआन                             | ᱢᱟᱱᱚᱛᱟᱱ                        | मआनअतआन
मआनआ                                | ᱢᱟᱱᱟ                           | मआनआ
मआनआग                               | ᱢᱟᱱᱟᱜ                          | मआनआग
मआनआव                               | ᱢᱟᱱᱟᱣ                          | मआनआव
मआनआवआ                              | ᱢᱟᱱᱟᱣᱟ                         | मआनआवआ
मआनइ                                | ᱢᱟᱱᱤ                           | मआनइ
मआनए                                | ᱢᱟᱱᱮ                           | मआनए
मआनवआ                               | ᱢᱟᱱᱣᱟ                          | मआनवआ
मआम                                 | ᱢᱟᱢ                            | मआम
मआमअ                                | ᱢᱟᱢᱚ                           | मआमअ
मआमलआ                               | ᱢᱟᱢᱞᱟ                          | मआमलआ
मआय                                 | ᱢᱟᱭ                            | मआय
मआयआ                                | ᱢᱟᱭᱟ                           | मआयआ
मआयआङ                               | ᱢᱟᱭᱟᱝ                          | मआयआङ
मआयआम                               | ᱢᱟᱭᱟᱢ                          | मआयआम
मआयइल                               | ᱢᱟᱭᱤᱞ                          | मआयइल
मआर                                 | ᱢᱟᱨ                            | मआर
मआरआ                                | ᱢᱟᱨᱟ                           | मआरआ
मआरआग                               | ᱢᱟᱨᱟᱜ                          | मआरआग
मआरआङ                               | ᱢᱟᱨᱟᱝ                          | मआरआङ
मआरआठहआ                             | ᱢᱟᱨᱟᱴᱷᱟ                        | मआरआठहआ
मआरआठहइ                             | ᱢᱟᱨᱟᱴᱷᱤ                        | मआरआठहइ
मआरआव                               | ᱢᱟᱨᱟᱣ                          | मआरआव
मआरइ                                | ᱢᱟᱨᱤ                           | मआरइ
मआरए                                | ᱢᱟᱨᱮ                           | मआरए
मआरएन                               | ᱢᱟᱨᱮᱱ                          | मआरएन
मआरक                                | ᱢᱟᱨᱠ                           | मआरक
मआरकइन                              | ᱢᱟᱨᱠᱤᱱ                         | मआरकइन
मआरकस                               | ᱢᱟᱨᱠᱥ                          | मआरकस
मआरच                                | ᱢᱟᱨᱪ                           | मआरच
मआरठ                                | ᱢᱟᱨᱴ                           | मआरठ
मआरसआल                              | ᱢᱟᱨᱥᱟᱞ                         | मआरसआल
मआल                                 | ᱢᱟᱞ                            | मआल
मआलअय                               | ᱢᱟᱞᱚᱭ                          | मआलअय
मआलआ                                | ᱢᱟᱞᱟ                           | मआलआ
मआलआय                               | ᱢᱟᱞᱟᱭ                          | मआलआय
मआलआयआ                              | ᱢᱟᱞᱟᱭᱟ                         | मआलआयआ
मआलआयआलआम                           | ᱢᱟᱞᱟᱭᱟᱞᱟᱢ                      | मआलआयआलआम
मआव                                 | ᱢᱟᱣ                            | मआव
मआस                                 | ᱢᱟᱥ                            | मआस
मआह                                 | ᱢᱟᱦ                            | मआह
मआहआ                                | ᱢᱟᱦᱟ                           | मआहआ
मआहआं                               | ᱢᱟᱦᱟᱸ                          | मआहआं
मआहआदएस                             | ᱢᱟᱦᱟᱫᱮᱥ                        | मआहआदएस
मआहआन                               | ᱢᱟᱦᱟᱱ                          | मआहआन
मआहआर                               | ᱢᱟᱦᱟᱨ                          | मआहआर
मआᱹ                                 | ᱢᱟᱹ                            | मआᱹ
मआᱹचइ                               | ᱢᱟᱹᱪᱤ                          | मआᱹचइ
मआᱹजहइ                              | ᱢᱟᱹᱡᱷᱤ                         | मआᱹजहइ
मआᱹञजउर                             | ᱢᱟᱹᱧᱡᱩᱨ                        | मआᱹञजउर
मआᱹन                                | ᱢᱟᱹᱱ                           | मआᱹन
मआᱹनमइ                              | ᱢᱟᱹᱱᱢᱤ                         | मआᱹनमइ
मआᱹनमइयआग                           | ᱢᱟᱹᱱᱢᱤᱭᱟᱜ                      | मआᱹनमइयआग
मआᱹय                                | ᱢᱟᱹᱭ                           | मआᱹय
मआᱹहइत                              | ᱢᱟᱹᱦᱤᱛ                         | मआᱹहइत
मइ                                  | ᱢᱤ                             | मइ
मइक                                 | ᱢᱤᱠ                            | मइक
मइज                                 | ᱢᱤᱡ                            | मइज
मइजअरआम                             | ᱢᱤᱡᱚᱨᱟᱢ                        | मइजअरआम
मइठ                                 | ᱢᱤᱴ                            | मइठ
मइठअर                               | ᱢᱤᱴᱚᱨ                          | मइठअर
मइठआर                               | ᱢᱤᱴᱟᱨ                          | मइठआर
मइड                                 | ᱢᱤᱰ                            | मइड
मइडइयआ                              | ᱢᱤᱰᱤᱭᱟ                         | मइडइयआ
मइत                                 | ᱢᱤᱛ                            | मइत
मइतरअ                               | ᱢᱤᱛᱨᱚ                          | मइतरअ
मइतह                                | ᱢᱤᱛᱷ                           | मइतह
मइतहइलआ                             | ᱢᱤᱛᱷᱤᱞᱟ                        | मइतहइलआ
मइद                                 | ᱢᱤᱫ                            | मइद
मइदउन                               | ᱢᱤᱫᱩᱱ                          | मइदउन
मइदठ                                | ᱢᱤᱫᱴ                           | मइदठ
मइदठआङ                              | ᱢᱤᱫᱴᱟᱝ                         | मइदठआङ
मइदठएन                              | ᱢᱤᱫᱴᱮᱱ                         | मइदठएन
मइदहअड़                             | ᱢᱤᱫᱦᱚᱲ                         | मइदहअड़
मइद्                                | ᱢᱤᱫᱽ                           | मइद्
मइन                                 | ᱢᱤᱱ                            | मइन
मइनआ                                | ᱢᱤᱱᱟ                           | मइनआ
मइम                                 | ᱢᱤᱢ                            | मइम
मइमइद                               | ᱢᱤᱢᱤᱫ                          | मइमइद
मइय                                 | ᱢᱤᱭ                            | मइय
मइयआ                                | ᱢᱤᱭᱟ                           | मइयआ
मइयआनमआर                            | ᱢᱤᱭᱟᱱᱢᱟᱨ                       | मइयआनमआर
मइर                                 | ᱢᱤᱨ                            | मइर
मइरआ                                | ᱢᱤᱨᱟ                           | मइरआ
मइरउ                                | ᱢᱤᱨᱩ                           | मइरउ
मइरजआ                               | ᱢᱤᱨᱡᱟ                          | मइरजआ
मइल                                 | ᱢᱤᱞ                            | मइल
मइलआ                                | ᱢᱤᱞᱟ                           | मइलआ
मइलआᱹव                              | ᱢᱤᱞᱟᱹᱣ                         | मइलआᱹव
मइलइ                                | ᱢᱤᱞᱤ                           | मइलइ
मइलइठ                               | ᱢᱤᱞᱤᱴ                          | मइलइठ
मइलइयअन                             | ᱢᱤᱞᱤᱭᱚᱱ                        | मइलइयअन
मइस                                 | ᱢᱤᱥ                            | मइस
मइसअन                               | ᱢᱤᱥᱚᱱ                          | मइसअन
मइसअर                               | ᱢᱤᱥᱚᱨ                          | मइसअर
मइसरअ                               | ᱢᱤᱥᱨᱚ                          | मइसरअ
मइसरआ                               | ᱢᱤᱥᱨᱟ                          | मइसरआ
मउ                                  | ᱢᱩ                             | मउ
मउंद्रइ                             | ᱢᱩᱸᱫᱽᱨᱤ                        | मउंद्रइ
मउक                                 | ᱢᱩᱠ                            | मउक
मउकतइ                               | ᱢᱩᱠᱛᱤ                          | मउकतइ
मउकह                                | ᱢᱩᱠᱷ                           | मउकह
मउकहआरजइ                            | ᱢᱩᱠᱷᱟᱨᱡᱤ                       | मउकहआरजइ
मउकहइयआᱹ                            | ᱢᱩᱠᱷᱤᱭᱟᱹ                       | मउकहइयआᱹ
मउकहयआᱹ                             | ᱢᱩᱠᱷᱭᱟᱹ                        | मउकहयआᱹ
मउग                                 | ᱢᱩᱜ                            | मउग
मउगअल                               | ᱢᱩᱜᱚᱞ                          | मउगअल
मउङग                                | ᱢᱩᱝᱜ                           | मउङग
मउचआ                                | ᱢᱩᱪᱟ                           | मउचआ
मउचआᱹ                               | ᱢᱩᱪᱟᱹ                          | मउचआᱹ
मउचआᱹद                              | ᱢᱩᱪᱟᱹᱫ                         | मउचआᱹद
मउजअ                                | ᱢᱩᱡᱚ                           | मउजअ
मउठ                                 | ᱢᱩᱴ                            | मउठ
मउठह                                | ᱢᱩᱴᱷ                           | मउठह
मउठहआᱹन                             | ᱢᱩᱴᱷᱟᱹᱱ                        | मउठहआᱹन
मउड़                                | ᱢᱩᱲ                            | मउड़
मउड़उत                              | ᱢᱩᱲᱩᱛ                          | मउड़उत
मउड़उद                              | ᱢᱩᱲᱩᱫ                          | मउड़उद
मउण                                 | ᱢᱩᱬ                            | मउण
मउणउत                               | ᱢᱩᱬᱩᱛ                          | मउणउत
मउत                                 | ᱢᱩᱛ                            | मउत
मउद                                 | ᱢᱩᱫ                            | मउद
मउदरए                               | ᱢᱩᱫᱨᱮ                          | मउदरए
मउद्                                | ᱢᱩᱫᱽ                           | मउद्
मउद्रइ                              | ᱢᱩᱫᱽᱨᱤ                         | मउद्रइ
मउद्रए                              | ᱢᱩᱫᱽᱨᱮ                         | मउद्रए
मउन                                 | ᱢᱩᱱ                            | मउन
मउनइ                                | ᱢᱩᱱᱤ                           | मउनइ
मउनडआ                               | ᱢᱩᱱᱰᱟ                          | मउनडआ
मउम                                 | ᱢᱩᱢ                            | मउम
मउमबआय                              | ᱢᱩᱢᱵᱟᱭ                         | मउमबआय
मउर                                 | ᱢᱩᱨ                            | मउर
मउरउ                                | ᱢᱩᱨᱩ                           | मउरउ
मउरतइ                               | ᱢᱩᱨᱛᱤ                          | मउरतइ
मउरमउ                               | ᱢᱩᱨᱢᱩ                          | मउरमउ
मउरस                                | ᱢᱩᱨᱥ                           | मउरस
मउल                                 | ᱢᱩᱞ                            | मउल
मउस                                 | ᱢᱩᱥ                            | मउस
मउसलआᱹ                              | ᱢᱩᱥᱞᱟᱹ                         | मउसलआᱹ
मउसलइम                              | ᱢᱩᱥᱞᱤᱢ                         | मउसलइम
मउह                                 | ᱢᱩᱦ                            | मउह
मउहइत                               | ᱢᱩᱦᱤᱛ                          | मउहइत
मए                                  | ᱢᱮ                             | मए
मएंठ                                | ᱢᱮᱸᱴ                           | मएंठ
मएकसइ                               | ᱢᱮᱠᱥᱤ                          | मएकसइ
मएकसइकअ                             | ᱢᱮᱠᱥᱤᱠᱚ                        | मएकसइकअ
मएकसइकओ                             | ᱢᱮᱠᱥᱤᱠᱳ                        | मएकसइकओ
मएगआ                                | ᱢᱮᱜᱟ                           | मएगआ
मएगहआ                               | ᱢᱮᱜᱷᱟ                          | मएगहआ
मएगहआलअय                            | ᱢᱮᱜᱷᱟᱞᱚᱭ                       | मएगहआलअय
मएच                                 | ᱢᱮᱪ                            | मएच
मएठ                                 | ᱢᱮᱴ                            | मएठ
मएठरअ                               | ᱢᱮᱴᱨᱚ                          | मएठरअ
मएठरइक                              | ᱢᱮᱴᱨᱤᱠ                         | मएठरइक
मएडइ                                | ᱢᱮᱰᱤ                           | मएडइ
मएडइकएल                             | ᱢᱮᱰᱤᱠᱮᱞ                        | मएडइकएल
मएण                                 | ᱢᱮᱬ                            | मएण
मएणहएद                              | ᱢᱮᱬᱦᱮᱫ                         | मएणहएद
मएत                                 | ᱢᱮᱛ                            | मएत
मएतआ                                | ᱢᱮᱛᱟ                           | मएतआ
मएतआग                               | ᱢᱮᱛᱟᱜ                          | मएतआग
मएतआग-आ                             | ᱢᱮᱛᱟᱜᱼᱟ                        | मएतआग-आ
मएतआद                               | ᱢᱮᱛᱟᱫ                          | मएतआद
मएतआय                               | ᱢᱮᱛᱟᱭ                          | मएतआय
मएतआयआ                              | ᱢᱮᱛᱟᱭᱟ                         | मएतआयआ
मएद                                 | ᱢᱮᱫ                            | मएद
मएदइनइपउर                           | ᱢᱮᱫᱤᱱᱤᱯᱩᱨ                      | मएदइनइपउर
मएन                                 | ᱢᱮᱱ                            | मएन
मएनआ                                | ᱢᱮᱱᱟ                           | मएनआ
